1,"A+B",1000,B5
2,"A-B",1001,B5
3,"터렛",1002,S3
4,"피보나치 함수",1003,S3
5,"어린 왕자",1004,S3
6,"ACM Craft",1005,G3
7,"습격자 초라기",1006,P3
8,"벡터 매칭",1007,G2
9,"A/B",1008,B5
10,"분산처리",1009,B2
11,"다리 놓기",1010,S5
12,"Fly me to the Alpha Centauri",1011,G5
13,"유기농 배추",1012,S2
14,"Contact",1013,G5
15,"컨닝",1014,P4
16,"수열 정렬",1015,S4
17,"제곱 ㄴㄴ 수",1016,G1
18,"소수 쌍",1017,P3
19,"체스판 다시 칠하기",1018,S4
20,"책 페이지",1019,P5
21,"디지털 카운터",1020,P2
22,"회전하는 큐",1021,S3
23,"소용돌이 예쁘게 출력하기",1022,G3
24,"괄호 문자열",1023,P3
25,"수열의 합",1024,S2
26,"제곱수 찾기",1025,G5
27,"보물",1026,S4
28,"고층 건물",1027,G4
29,"다이아몬드 광산",1028,P5
30,"그림 교환",1029,G1
31,"프렉탈 평면",1030,G3
32,"스타 대결",1031,D5
33,"명령 프롬프트",1032,B1
34,"칵테일",1033,G2
35,"램프",1034,G4
36,"조각 움직이기",1035,G1
37,"36진수",1036,G2
38,"약수",1037,B1
39,"감소하는 수",1038,G5
40,"교환",1039,G2
41,"정수",1040,P2
42,"주사위",1041,G5
43,"움",1042,P1
44,"거짓말",1043,G4
45,"팀 선발",1044,P3
46,"도로",1045,G1
47,"그림자",1046,D3
48,"울타리",1047,P5
49,"유니콘",1048,P4
50,"기타줄",1049,S4
51,"물약",1050,P5
52,"숫자 정사각형",1051,S3
53,"물병",1052,G5
54,"팰린드롬 공장",1053,G1
55,"팰린드롬 문장",1054,D4
56,"끝이없음",1055,P3
57,"수",1056,P2
58,"토너먼트",1057,S4
59,"친구",1058,S2
60,"좋은 구간",1059,S4
61,"좋은 수",1060,G1
62,"삼각형",1061,P1
63,"가르침",1062,G4
64,"킹",1063,S3
65,"평행사변형",1064,S4
66,"한수",1065,S4
67,"에이한수",1066,P2
68,"이동",1067,P1
69,"트리",1068,G5
